                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.85412,                0.64051,                 1.2196,                0.98017,                0.95566,                0.97826,                 0.7554,                0.80139,                0.36864,                 0.9872,                0.00802,                0.00802,                0.00802
                     53,                0.85236,                0.63246,                 1.2181,                0.97657,                0.95907,                0.97895,                0.76014,                0.79708,                0.36394,                0.98542,              0.0079804,              0.0079804,              0.0079804
                     54,                0.84282,                0.62847,                 1.2066,                 0.9817,                0.95793,                0.97707,                0.75988,                0.78797,                 0.3689,                0.98164,              0.0079408,              0.0079408,              0.0079408
                     55,                0.84223,                 0.6258,                 1.2082,                0.97568,                 0.9581,                0.97499,                0.76293,                0.78717,                0.37134,                0.98092,              0.0079012,              0.0079012,              0.0079012
                     56,                  0.847,                0.62282,                 1.2077,                0.97957,                0.95417,                0.97404,                0.76108,                0.79245,                0.37038,                0.98064,              0.0078616,              0.0078616,              0.0078616
                     57,                0.83451,                0.62097,                 1.2064,                0.98195,                0.95395,                0.97489,                0.75785,                0.79676,                0.36426,                0.98375,               0.007822,               0.007822,               0.007822
                     58,                0.83701,                0.62132,                 1.2063,                0.98014,                0.95405,                0.97652,                0.75832,                0.79042,                0.36434,                0.98126,              0.0077824,              0.0077824,              0.0077824
                     59,                0.83917,                0.62182,                 1.2065,                0.97081,                0.96437,                 0.9757,                0.76049,                0.79105,                0.36636,                0.97945,              0.0077428,              0.0077428,              0.0077428
                     60,                0.83576,                 0.6148,                 1.2018,                0.98134,                0.95651,                0.97744,                0.75894,                0.79594,                0.36435,                0.97785,              0.0077032,              0.0077032,              0.0077032
                     61,                0.82742,                0.61208,                 1.1993,                0.97472,                0.96429,                0.97943,                0.76356,                0.79675,                 0.3597,                0.97971,              0.0076636,              0.0076636,              0.0076636
                     62,                0.82646,                0.61287,                 1.1984,                 0.9751,                0.96248,                0.97935,                0.76096,                 0.7968,                0.36149,                0.98268,               0.007624,               0.007624,               0.007624
                     63,                0.82326,                0.60736,                 1.1968,                0.97686,                0.96018,                0.97983,                0.76108,                0.79284,                0.35868,                 0.9827,              0.0075844,              0.0075844,              0.0075844
                     64,                0.81843,                0.59782,                 1.1928,                0.97741,                0.95947,                0.97633,                0.76121,                0.79109,                0.36248,                0.98261,              0.0075448,              0.0075448,              0.0075448
                     65,                0.82021,                0.60517,                 1.1962,                 0.9774,                0.95876,                0.97845,                0.76056,                0.79438,                0.36645,                0.98409,              0.0075052,              0.0075052,              0.0075052
                     66,                0.81932,                0.60698,                 1.1934,                0.97948,                 0.9585,                0.97751,                0.75904,                0.79507,                0.36394,                0.98518,              0.0074656,              0.0074656,              0.0074656
                     67,                0.82354,                0.60584,                   1.19,                0.98114,                0.95736,                0.97712,                0.76087,                 0.7968,                0.36402,                0.98534,               0.007426,               0.007426,               0.007426
                     68,                0.81414,                0.60898,                 1.1891,                0.97684,                0.95964,                0.97895,                0.76325,                0.79666,                 0.3617,                0.98394,              0.0073864,              0.0073864,              0.0073864
                     69,                0.80804,                0.59592,                 1.1865,                0.98233,                0.95509,                0.97632,                0.76329,                0.79353,                0.35915,                0.98277,              0.0073468,              0.0073468,              0.0073468
                     70,                0.80736,                0.59626,                 1.1855,                0.98191,                0.95639,                  0.979,                0.76504,                0.79386,                0.35592,                 0.9818,              0.0073072,              0.0073072,              0.0073072
                     71,                0.79798,                0.58617,                 1.1805,                0.98191,                0.95452,                 0.9794,                0.76531,                0.79431,                 0.3564,                0.98273,              0.0072676,              0.0072676,              0.0072676
                     72,                 0.8002,                0.59075,                 1.1799,                0.98195,                0.95452,                 0.9793,                0.76518,                0.79214,                0.35667,                0.98269,               0.007228,               0.007228,               0.007228
                     73,                0.79824,                0.58299,                 1.1786,                0.98301,                0.95383,                0.97971,                0.76593,                0.79271,                 0.3573,                 0.9841,              0.0071884,              0.0071884,              0.0071884
                     74,                0.79427,                0.58136,                 1.1702,                0.98301,                0.95281,                0.97949,                0.76262,                0.79541,                0.35738,                0.98561,              0.0071488,              0.0071488,              0.0071488
                     75,                0.79557,                0.59155,                  1.178,                0.98409,                0.95338,                0.98016,                0.76319,                0.79363,                0.35653,                 0.9844,              0.0071092,              0.0071092,              0.0071092
                     76,                0.78962,                0.57684,                 1.1748,                0.98356,                0.95235,                0.98034,                0.76315,                0.79432,                0.35782,                0.98404,              0.0070696,              0.0070696,              0.0070696
                     77,                0.79645,                 0.5828,                  1.176,                  0.983,                0.95318,                0.98014,                0.76508,                 0.7945,                0.35881,                0.98418,                0.00703,                0.00703,                0.00703
                     78,                0.77982,                0.57292,                 1.1725,                0.98242,                0.95301,                0.97959,                 0.7632,                0.79697,                0.35775,                0.98572,              0.0069904,              0.0069904,              0.0069904
                     79,                0.78154,                0.56842,                 1.1681,                0.97787,                0.95679,                0.98097,                0.76337,                0.79719,                0.35751,                0.98541,              0.0069508,              0.0069508,              0.0069508
                     80,                0.77469,                0.56162,                 1.1626,                0.98345,                0.95509,                0.97968,                0.76397,                0.79708,                0.35816,                0.98441,              0.0069112,              0.0069112,              0.0069112
                     81,                0.77673,                0.57291,                 1.1641,                0.98257,                0.95509,                 0.9802,                0.76584,                0.79675,                0.35689,                  0.984,              0.0068716,              0.0068716,              0.0068716
                     82,                 0.7789,                0.56571,                 1.1627,                0.98286,                0.95509,                0.98057,                0.76604,                0.79593,                0.35668,                0.98335,               0.006832,               0.006832,               0.006832
                     83,                0.77739,                0.56561,                 1.1603,                0.98416,                0.95356,                0.98078,                0.76451,                0.79544,                0.35595,                0.98373,              0.0067924,              0.0067924,              0.0067924
                     84,                0.77739,                0.56509,                 1.1661,                0.98326,                0.95281,                0.98043,                 0.7664,                 0.7951,                0.35477,                0.98397,              0.0067528,              0.0067528,              0.0067528
                     85,                0.77499,                0.56466,                 1.1633,                 0.9835,                0.95338,                 0.9803,                0.76625,                0.79462,                0.35511,                0.98405,              0.0067132,              0.0067132,              0.0067132
                     86,                0.76608,                 0.5597,                  1.159,                0.98301,                0.95405,                0.98032,                0.76565,                0.79292,                0.35515,                0.98366,              0.0066736,              0.0066736,              0.0066736
                     87,                0.76504,                0.55584,                 1.1569,                0.98258,                0.95566,                0.98053,                0.76447,                0.79248,                0.35498,                0.98469,               0.006634,               0.006634,               0.006634
                     88,                0.75921,                0.55171,                 1.1565,                0.98243,                0.95361,                0.98027,                0.76705,                0.79129,                0.35368,                0.98412,              0.0065944,              0.0065944,              0.0065944
                     89,                0.76309,                0.55142,                 1.1542,                 0.9802,                0.95692,                0.98074,                 0.7691,                0.79068,                0.35446,                0.98397,              0.0065548,              0.0065548,              0.0065548
                     90,                0.76036,                0.54898,                  1.152,                0.97987,                0.95623,                0.98106,                0.76905,                0.79131,                0.35419,                0.98407,              0.0065152,              0.0065152,              0.0065152
                     91,                0.75803,                0.54736,                 1.1517,                0.98097,                0.95623,                0.98131,                0.76857,                0.79118,                 0.3529,                0.98397,              0.0064756,              0.0064756,              0.0064756
                     92,                0.75386,                0.54888,                 1.1428,                0.98134,                0.95685,                0.98143,                0.77011,                0.79084,                0.35256,                0.98359,               0.006436,               0.006436,               0.006436
                     93,                 0.7524,                0.54501,                 1.1441,                0.98225,                0.95509,                0.98125,                0.76819,                0.79058,                0.35189,                0.98335,              0.0063964,              0.0063964,              0.0063964
                     94,                0.75042,                0.53913,                 1.1461,                 0.9808,                0.95824,                0.98085,                0.76757,                0.79044,                0.35199,                 0.9833,              0.0063568,              0.0063568,              0.0063568
                     95,                0.75086,                0.53905,                 1.1421,                0.98135,                0.95751,                0.98088,                0.76729,                0.78953,                0.35154,                0.98288,              0.0063172,              0.0063172,              0.0063172
                     96,                0.74152,                0.54046,                 1.1374,                0.98149,                0.95623,                0.98098,                0.76899,                 0.7892,                0.35091,                 0.9827,              0.0062776,              0.0062776,              0.0062776
                     97,                   0.75,                0.54349,                 1.1411,                 0.9819,                0.95587,                0.98061,                0.76788,                0.78912,                0.35065,                0.98276,               0.006238,               0.006238,               0.006238
                     98,                0.73625,                0.52952,                 1.1333,                0.98088,                0.95623,                0.98077,                0.76879,                 0.7895,                0.35044,                0.98311,              0.0061984,              0.0061984,              0.0061984
                     99,                 0.7434,                0.53084,                 1.1362,                0.98132,                0.95548,                0.98045,                0.76911,                0.78934,                 0.3509,                0.98299,              0.0061588,              0.0061588,              0.0061588
                    100,                0.73399,                0.52882,                 1.1311,                0.98131,                0.95541,                0.98089,                0.76848,                0.78928,                0.35049,                0.98293,              0.0061192,              0.0061192,              0.0061192
                    101,                0.73394,                0.52371,                  1.132,                0.97907,                0.95718,                 0.9809,                0.76786,                0.78948,                0.35016,                0.98285,              0.0060796,              0.0060796,              0.0060796
                    102,                0.72836,                0.52706,                  1.133,                0.98001,                0.95679,                0.98085,                0.76749,                0.78954,                 0.3496,                0.98293,                0.00604,                0.00604,                0.00604
                    103,                0.73658,                0.52557,                 1.1324,                 0.9801,                0.95679,                0.98054,                0.76711,                0.78954,                0.34879,                0.98257,              0.0060004,              0.0060004,              0.0060004
                    104,                0.73261,                0.52928,                 1.1306,                 0.9801,                0.95679,                0.98053,                0.76712,                0.78897,                0.34774,                0.98214,              0.0059608,              0.0059608,              0.0059608
                    105,                0.72684,                0.51875,                 1.1276,                0.97988,                0.95679,                0.98045,                0.76876,                0.78919,                0.34709,                0.98208,              0.0059212,              0.0059212,              0.0059212
                    106,                0.72768,                0.52364,                  1.124,                0.98068,                0.95736,                0.98077,                0.76736,                0.78948,                0.34699,                  0.982,              0.0058816,              0.0058816,              0.0058816
